id,enable_settings,requirement_type,invert,data
# These are individual requirements, the basic building blocks of larger requirements used in terraforming_requirements_OR.csv
# id is a string to identify the project, unique to 'terraforming_requirement.csv'
# requirement_type is a requirement type for this requirement
# invert is whether this condition will be inverted, ie a condition for a planet to be a certain type becomes a condition for a planet to NOT be a certain type
# data is a string that specifies options for the requirement type
# Don't judge me about requirements true and false
true,,AlwaysTrue,false,
false,,AlwaysTrue,true,
,
planet_not_arid,,PlanetType,true,"desert"
planet_not_barren,,PlanetType,true,"barren"
planet_not_jungle,,PlanetType,true,"jungle"
planet_not_terran,,PlanetType,true,"terran"
planet_not_water,,PlanetType,true,"water"
planet_not_tundra,,PlanetType,true,"tundra"
planet_not_frozen,,PlanetType,true,"frozen"
,
planet_arid,,PlanetType,false,"desert"
planet_barren,,PlanetType,false,"barren"
planet_jungle,,PlanetType,false,"jungle"
planet_terran,,PlanetType,false,"terran"
planet_water,,PlanetType,false,"water"
planet_tundra,,PlanetType,false,"tundra"
planet_frozen,,PlanetType,false,"frozen"
,
planet_not_star,,PlanetType,true,"star"
planet_not_gas_giant,,PlanetType,true,"gas_giant"
planet_not_volcanic,,PlanetType,true,"volcanic"
planet_not_irradiated,,PlanetType,true,"irradiated"
planet_not_unknown,,PlanetType,true,"unknown"
,
planet_star,,PlanetType,false,"star"
planet_gas_giant,,PlanetType,false,"gas_giant"
planet_volcanic,,PlanetType,false,"volcanic"
planet_irradiated,,PlanetType,false,"irradiated"
planet_unknown,,PlanetType,false,"unknown"
,
market_is_station,,MarketHasTags,false,"[ 'station' ]"
market_is_not_station,,MarketHasTags,true,"[ 'station' ]"
,
market_no_atmosphere,,MarketHasCondition,false,"no_atmosphere"
market_thin_atmosphere,,MarketHasCondition,false,"thin_atmosphere"
market_dense_atmosphere,,MarketHasCondition,false,"dense_atmosphere"
market_toxic_atmosphere,,MarketHasCondition,false,"toxic_atmosphere"
market_irradiated,,MarketHasCondition,false,"irradiated"
,
market_not_irradiated,,MarketHasCondition,true,"irradiated"
market_any_atmosphere,,MarketHasCondition,true,"no_atmosphere"
,
market_very_cold,,MarketHasCondition,false,"very_cold"
market_cold,,MarketHasCondition,false,"cold"
market_hot,,MarketHasCondition,false,"hot"
market_very_hot,,MarketHasCondition,false,"very_hot"
,
market_poor_light,,MarketHasCondition,false,"poor_light"
market_dark,,MarketHasCondition,false,"dark"
,
market_not_poor_light,,MarketHasCondition,true,"poor_light"
market_not_dark,,MarketHasCondition,true,"dark"
,
market_has_water_surface,,MarketHasCondition,false,"water_surface"
market_not_has_water_surface,,MarketHasCondition,true,"water_surface"
,
market_has_stellar_reflectors,,MarketHasCondition,false,"solar_array"
,
market_not_has_stellar_reflectors,,MarketHasCondition,true,"solar_array"
,
market_habitable,,MarketHasCondition,false,"habitable"
market_has_extreme_weather,,MarketHasCondition,false,"extreme_weather"
market_has_mild_climate,,MarketHasCondition,false,"mild_climate"
,
market_not_habitable,,MarketHasCondition,true,"habitable"
market_not_has_extreme_weather,,MarketHasCondition,true,"extreme_weather"
market_not_has_mild_climate,,MarketHasCondition,true,"mild_climate"
,
market_has_low_gravity,,MarketHasCondition,false,"low_gravity"
market_has_high_gravity,,MarketHasCondition,false,"high_gravity"
,
market_decivilized,,MarketHasCondition,false,"decivilized"
market_decivilized_subpop,,MarketHasCondition,false,"decivilized_subpop"
market_rogue_ai_core,,MarketHasCondition,false,"rogue_ai_core"
,
market_not_has_meteor_impacts,,MarketHasCondition,true,"meteor_impacts"
market_not_has_tectonic_activity,,MarketHasCondition,true,"tectonic_activity"
market_not_has_extreme_tectonic_activity,,MarketHasCondition,true,"extreme_tectonic_activity"
,
market_has_harmonic_damper,,MarketHasIndustry,false,"BOGGLED_HARMONIC_DAMPER"
market_has_mining,,MarketHasIndustry,false,"mining"
,
market_ruins_scattered,,MarketHasCondition,false,"ruins_scattered"
market_ruins_widespread,,MarketHasCondition,false,"ruins_widespread"
market_ruins_extensive,,MarketHasCondition,false,"ruins_extensive"
market_ruins_vast,,MarketHasCondition,false,"ruins_vast"
,
market_has_moderate_water_present,,MarketHasWaterPresent,false,"{
	'min_water_level' : 1,
	'max_water_level' : 2,
	'water_industry_ids' : [ 'BOGGLED_ISMARA_SLING', 'BOGGLED_ASTEROID_PROCESSING' ]
}"
market_has_large_water_present,,MarketHasWaterPresent,false,"{
	'min_water_level' : 2,
	'max_water_level' : 2,
	'water_industry_ids' : [ 'BOGGLED_ISMARA_SLING', 'BOGGLED_ASTEROID_PROCESSING' ]
}"
,
market_has_atmosphere_processor,,MarketHasIndustry,false,"BOGGLED_ATMOSPHERE_PROCESSOR"
market_has_genelab,,MarketHasIndustry,false,"BOGGLED_GENELAB"
market_has_domed_cities,,MarketHasIndustry,false,"BOGGLED_DOMED_CITIES"
market_has_seafloor_cities,,MarketHasIndustry,false,"BOGGLED_SEAFLOOR_CITIES"
,
market_has_heavy_industry_with_corrupted_nanoforge,,MarketHasIndustryWithItem,false,"{
	'industry_id' : 'heavyindustry',
	'item_id' : 'corrupted_nanoforge'
}"
market_has_heavy_industry_with_pristine_nanoforge,,MarketHasIndustryWithItem,false,"{
	'industry_id' : 'heavyindustry',
	'item_id' : 'pristine_nanoforge'
}"
market_has_orbital_works_with_corrupted_nanoforge,,MarketHasIndustryWithItem,false,"{
	'industry_id' : 'orbitalworks',
	'item_id' : 'corrupted_nanoforge'
}"
market_has_orbital_works_with_pristine_nanoforge,,MarketHasIndustryWithItem,false,"{
	'industry_id' : 'orbitalworks',
	'item_id' : 'pristine_nanoforge'
}"
,
world_type_supports_farmland_improvement,,WorldTypeSupportsResourceImprovement,false,"farmland"
world_type_supports_organics_improvement,,WorldTypeSupportsResourceImprovement,false,"organics"
world_type_supports_volatiles_improvement,,WorldTypeSupportsResourceImprovement,false,"volatiles"
,
terraforming_possible_on_market,,TerraformingPossibleOnMarket,false,"[ 'irradiated' ]"
,
focus_planet_not_gas_giant,,FocusPlanetType,true,"gas_giant"
focus_planet_gas_giant,,FocusPlanetType,false,"gas_giant"
,
focus_market_has_extreme_weather,,FocusMarketHasCondition,false,"extreme_weather"
focus_market_has_tectonic_activity,,FocusMarketHasCondition,false,"tectonic_activity"
focus_market_has_extreme_tectonic_activity,,FocusMarketHasCondition,false,"extreme_tectonic_activity"
,
focus_market_has_ore_ultrarich,,FocusMarketHasCondition,false,"ore_ultrarich"
focus_market_has_rare_ore_ultrarich,,FocusMarketHasCondition,false,"rare_ore_ultrarich"
focus_market_has_volatiles_plentiful,,FocusMarketHasCondition,false,"volatiles_plentiful"
,
station_construction_num_expansions,,IntegerFromMarketTagSubstring,false,"{
	'option' : 'boggledStationCrampedQuartersSizeGrowthReductionStarts',
	'tag_substring' : 'boggled_station_construction_numExpansions_',
	'max_value' : 11
}"
,
system_star_not_has_coronal_tap,,SystemStarHasTags,true,"[ 'has_coronal_tap' ]"
system_star_blue_giant,,SystemStarType,false,"star_blue_giant"
system_star_blue_supergiant,,SystemStarType,false,"star_blue_supergiant"
,
player_has_skill_automated_ships,,PlayerHasSkill,false,"automated_ships"
,
market_storage_contains_at_least_easy_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'quantity' : 1000
}"
market_storage_contains_at_least_medium_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'quantity' : 2000
}"
market_storage_contains_at_least_hard_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'quantity' : 4000
}"
,
player_has_at_least_2_story_points,,PlayerHasStoryPointsAtLeast,false,2
,
market_has_at_least_100k_residents,,MarketIsAtLeastSize,false,5
,
atmosphere_processor_does_not_have_shortage,,IndustryHasShortage,true,"{
	'commodity_ids' : [ 'heavy_machinery' ]
}"
,
kletka_simulator_has_alpha_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'alpha_core'
}"
kletka_simulator_has_beta_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'beta_core'
}"
kletka_simulator_has_gamma_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'gamma_core'
}"
,
kletka_simulator_does_not_have_shortage,,IndustryHasShortage,true,"{
	'commodity_ids' : [ 'domain_artifacts' ]
}"
,
perihelion_project_does_not_have_shortage,,IndustryHasShortage,true,"{
	'commodity_ids' : [ 'domain_artifacts', 'metals', 'rare_metals', 'heavy_machinery' ]
}"
,
player_fleet_not_in_hyperspace,,FleetInHyperspace,true,
system_has_jump_points,,SystemHasJumpPoints,false,
system_has_planets,,SystemHasPlanets,false,
target_planet_not_owned_by_player_or_neutral,,TargetPlanetOwnedBy,true,"[ 'player', 'neutral' ]"
target_planet_owned_by_player,,TargetPlanetOwnedBy,false,"[ 'player' ]"
target_planet_too_close_to_orbit_focus,,TargetPlanetOrbitFocusWithinDistance,true,900
target_planet_too_close_to_star,,TargetPlanetStarWithinDistance,true,1400
target_planet_too_many_moons,,TargetPlanetMoonCountLessThan,false,4
target_planet_too_crowded,,TargetPlanetOrbitersTooClose,false,400
,
target_station_not_owned_by_player_or_neutral,,TargetStationOwnedBy,true,"[ 'player', 'neutral' ]"
target_station_not_colonizable,,TargetStationColonizable,true,
,
ability_astropolis_station_target_planet_within_range,boggledAstropolisFollowOrbitalRequirements,TargetPlanetWithinDistance,false,500
ability_astropolis_station_target_planet_moon_too_close,boggledAstropolisFollowOrbitalRequirements,TargetPlanetOrbitersWithinDistance,true,500
ability_astropolis_station_target_planet_too_small,boggledAstropolisFollowOrbitalRequirements,TargetPlanetIsAtLeastSize,false,125
ability_astropolis_station_target_planet_too_many_stations,,TargetPlanetStationCountLessThan,false,"{
	'station_tags' : [ 'boggled_astropolis' ],
	'setting_id' : 'boggledMaxNumAstropoliPerPlanet',
	'max_num' : 24
}"
,
ability_astropolis_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledAstropolisStationBuildCreditCost',
	'quantity' : 500000
}"
ability_astropolis_station_fleet_contains_crew,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledAstropolisStationBuildCrewCost',
	'quantity' : 1000
}"
ability_astropolis_station_fleet_contains_heavy_machinery,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledAstropolisStationBuildHeavyMachineryCost',
	'quantity' : 250
}"
ability_astropolis_station_fleet_contains_metals,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledAstropolisStationBuildMetalCost',
	'quantity' : 1000
}"
ability_astropolis_station_fleet_contains_transplutonics,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledAstropolisStationBuildTransplutonicsCost',
	'quantity' : 250
}"
,
ability_mining_station_too_close_to_jump_point,,FleetTooCloseToJumpPoint,false,300
ability_mining_station_fleet_in_asteroid_belt,,FleetInAsteroidBelt,false,
ability_mining_station_fleet_in_asteroid_field,,FleetInAsteroidField,false,
ability_mining_station_too_many_stations,,TargetSystemStationCountLessThan,false,"{
	'station_tags' : [ 'boggled_mining' ],
	'max_num' : 1
}"
ability_mining_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledMiningStationBuildCreditCost',
	'quantity' : 500000
}"
