id,enable_settings,project_type,tooltip,tooltip_highlights,intel_complete_message,requirements,requirements_hidden,base_project_duration,dynamic_project_duration_modifiers,requirements_stall,requirements_reset,project_complete_effects,project_ongoing_effects,incomplete_message,incomplete_message_highlights,disrupted_message,disrupted_message_highlights
arid_type_change,boggledTerraformingContentEnabled,terraforming,"Arid type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_arid_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_temperate_or_hot' },
	{ 'requirement_id' : 'terraforming_colony_has_stellar_reflectors' },
	{ 'requirement_id' : 'terraforming_colony_has_moderate_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,"[ 'terraforming_type_change_setting' ]",,,"[
	'arid_type_change',
	'market_add_habitable',
	'market_add_farmland_adequate',
	'market_add_organics_common',
	'market_remove_water_surface',
	'market_remove_volturnian_lobster_pens',
	'market_remove_farmland_poor',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_trace',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_trace',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_abundant',
	'market_remove_volatiles_plentiful',

	'industry_swap_seafloor_cities_for_domed_cities',
	'industry_swap_aquaculture_for_farming',
	'industry_remove_mesozoic_park'
]",,,,,
jungle_type_change,boggledTerraformingContentEnabled,terraforming,"Jungle type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_jungle_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_temperate_or_hot' },
	{ 'requirement_id' : 'terraforming_colony_has_stellar_reflectors' },
	{ 'requirement_id' : 'terraforming_colony_has_moderate_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,[ 'terraforming_type_change_setting' ],,,"[
	'jungle_type_change',
	'market_add_habitable',
	'market_add_farmland_adequate',
	'market_add_organics_common',
	'market_remove_water_surface',
	'market_remove_volturnian_lobster_pens',
	'market_remove_farmland_poor',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_trace',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_trace',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_abundant',
	'market_remove_volatiles_plentiful',

	'industry_swap_seafloor_cities_for_domed_cities',
	'industry_swap_aquaculture_for_farming'
]",,,,,
terran_type_change,boggledTerraformingContentEnabled,terraforming,"Terran type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_terran_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_not_very_cold_or_very_hot' },
	{ 'requirement_id' : 'terraforming_colony_has_stellar_reflectors' },
	{ 'requirement_id' : 'terraforming_colony_has_moderate_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,[ 'terraforming_type_change_setting' ],,,"[
	'terran_type_change',
	'market_add_habitable',
	'market_add_farmland_adequate',
	'market_add_organics_trace',
	'market_optional_volatiles_trace',
	'market_remove_water_surface',
	'market_remove_volturnian_lobster_pens',
	'market_remove_farmland_poor',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_common',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_abundant',
	'market_remove_volatiles_plentiful',

	'industry_swap_seafloor_cities_for_domed_cities',
	'industry_swap_aquaculture_for_farming'
]",,,,,
water_type_change,boggledTerraformingContentEnabled,terraforming,"Water type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_water_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_not_very_cold_or_very_hot' },
	{ 'requirement_id' : 'terraforming_colony_has_stellar_reflectors' },
	{ 'requirement_id' : 'terraforming_colony_has_large_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,[ 'terraforming_type_change_setting' ],,,"[
	'water_type_change',
	'market_add_habitable',
	'market_add_water_surface',
	'market_remove_farmland_poor',
	'market_remove_farmland_adequate',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_trace',
	'market_remove_organics_common',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_trace',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_abundant',
	'market_remove_volatiles_plentiful',

	'industry_swap_domed_cities_for_seafloor_cities',
	'industry_swap_farming_for_aquaculture'
]",,,,,
tundra_type_change,boggledTerraformingContentEnabled,terraforming,"Tundra type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_tundra_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_temperate_or_cold' },
	{ 'requirement_id' : 'terraforming_colony_has_stellar_reflectors' },
	{ 'requirement_id' : 'terraforming_colony_has_moderate_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,[ 'terraforming_type_change_setting' ],,,"[
	'tundra_type_change',
	'market_add_habitable',
	'market_add_farmland_adequate',
	'market_add_organics_trace',
	'market_optional_volatiles_trace',
	'market_remove_water_surface',
	'market_remove_volturnian_lobster_pens',
	'market_remove_farmland_poor',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_common',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_abundant',
	'market_remove_volatiles_plentiful',

	'industry_swap_seafloor_cities_for_domed_cities',
	'industry_swap_aquaculture_for_farming',
	'industry_remove_mesozoic_park'
]",,,,,
frozen_type_change,boggledTerraformingContentEnabled,terraforming,"Frozen type change",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_not_frozen_world' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_very_cold' },
	{ 'requirement_id' : 'terraforming_colony_has_large_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",400,[ 'terraforming_type_change_setting' ],,,"[
	'frozen_type_change',
	'market_add_volatiles_abundant',
	'market_remove_habitable',
	'market_remove_water_surface',
	'market_remove_volturnian_lobster_pens',
	'market_remove_farmland_poor',
	'market_remove_farmland_adequate',
	'market_remove_farmland_rich',
	'market_remove_farmland_bountiful',
	'market_remove_organics_trace',
	'market_remove_organics_common',
	'market_remove_organics_abundant',
	'market_remove_organics_plentiful',
	'market_remove_volatiles_trace',
	'market_remove_volatiles_diffuse',
	'market_remove_volatiles_plentiful',

	'industry_swap_seafloor_cities_for_domed_cities',
	'industry_swap_aquaculture_for_farming',
	'industry_remove_mesozoic_park'
]",,,,,
,,,,,,,,,,,,,,,,,
farmland_resource_improvement,boggledTerraformingContentEnabled,terraforming,"Farmland resource improvement",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_supports_farmland_improvement' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_has_large_water_present' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'resource_improvement_setting' ],,,"[ 'market_progress_farmland' ]",,,,,
organics_resource_improvement,boggledTerraformingContentEnabled,terraforming,"Organics resource improvement",,Completed,"[ { 'requirement_id' : 'terraforming_world_type_supports_organics_improvement' } ]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'resource_improvement_setting' ],,,"[ 'market_progress_organics' ]",,,,,
volatiles_resource_improvement,boggledTerraformingContentEnabled,terraforming,"Volatiles resource improvement",,Completed,"[ { 'requirement_id' : 'terraforming_world_type_supports_volatiles_improvement' } ]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'resource_improvement_setting' ],,,"[ 'market_progress_volatiles' ]",,,,,
